#,抹茶,冰淇淋,咖哩,臭豆腐,義大利肉醬,叉燒,麻糬,Other,哪種呈現方式會增加你的購買意願?,如果推出買10送1的活動，你會願意買10的倍數嗎?,"Start Date (UTC)","Submit Date (UTC)","Network ID"
ecd7e70ab6e30276207cccb35e1c1675,,,咖哩,義大利肉醬,,叉燒,,,一列排開展示,0,"2016-12-13 15:35:05","2016-12-13 15:35:46",c31e8d3ccb
92e4c35395489f2eac599558c3d35625,抹茶,,,,,,,,一列排開展示,1,"2016-12-13 15:48:02","2016-12-13 15:57:01",c31e8d3ccb
8c4254a77f7745a6a48020be98f14f57,抹茶,冰淇淋,咖哩,,義大利肉醬,叉燒,麻糬,,剖面精美展示,0,"2016-12-13 15:59:03","2016-12-13 16:00:32",bff8b32d45
1a560429eed18f60d0218381710cb797,,,,,,,麻糬,,剖面精美展示,0,"2016-12-13 16:05:16","2016-12-13 16:06:02",888b122201
413ea0d5d035512c431d386647ba47cf,抹茶,冰淇淋,,臭豆腐,,,麻糬,,剖面精美展示,0,"2016-12-13 16:06:56","2016-12-13 16:11:01",7236d75db0
c0837fb1057aeb81d76b7d8dbec6dba8,抹茶,冰淇淋,,臭豆腐,,叉燒,,,剖面精美展示,0,"2016-12-14 02:09:02","2016-12-14 02:09:45",c31e8d3ccb
c301427b883e1347b4cc664cce9ab801,抹茶,,,,,,,,剖面精美展示,0,"2016-12-14 04:35:57","2016-12-14 04:37:01",052488627f
f6b46b35f719ac5ec3fb1b6ea112fb54,,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 05:32:14","2016-12-14 05:32:52",3fee3303af
d0d942a8d6df14dcddb04ca725ed8730,抹茶,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 07:35:35","2016-12-14 07:35:51",02b2632812
0b9c7c4da936a2c624d805c7823984db,,,咖哩,臭豆腐,義大利肉醬,,,,,1,"2016-12-14 07:35:55","2016-12-14 07:37:19",02b2632812
00a329501c32c2c74871f20783d39367,,,咖哩,臭豆腐,義大利肉醬,,,,一列排開展示,1,"2016-12-14 07:37:31","2016-12-14 07:38:01",02b2632812
c554f7bd3c8a30ccbdabc3822fae0895,,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 07:41:45","2016-12-14 07:42:22",02b2632812
ac50daead2a6aeaf03bd9d69cba989e6,抹茶,冰淇淋,,臭豆腐,,叉燒,,,剖面精美展示,0,"2016-12-14 07:42:15","2016-12-14 07:42:39",600ec03e88
91a8fdfdc87388db1aaef4598cbd6b80,,冰淇淋,,,,,麻糬,,剖面精美展示,0,"2016-12-14 07:42:18","2016-12-14 07:42:41",02b2632812
e61e45a906b5e33d1e91ff3e3ce0601c,抹茶,,,,,,,,一列排開展示,0,"2016-12-14 07:42:30","2016-12-14 07:43:03",02b2632812
f625da7e225293aca9fbb2f5e88fc505,,,咖哩,,,叉燒,,,剖面精美展示,1,"2016-12-14 07:43:21","2016-12-14 07:43:33",2bf49d0d81
a2e642e1fd2e9cf03b38934edf2a6b77,,,咖哩,,義大利肉醬,叉燒,麻糬,,剖面精美展示,1,"2016-12-14 07:44:29","2016-12-14 07:44:41",ee1f5b84d3
3ac0eb58dc03c1cf3635af10ba537a57,抹茶,,,,,,,水果,剖面精美展示,0,"2016-12-14 07:45:44","2016-12-14 07:46:13",394045a590
3230dd60e923fe8f64d789343a2f0bc7,,冰淇淋,,,,,麻糬,,環狀堆疊,1,"2016-12-14 07:46:07","2016-12-14 07:46:20",93d0eb86e4
7dd339414a5087d3cd68771098cf0ffc,,,咖哩,臭豆腐,,叉燒,麻糬,,一列排開展示,0,"2016-12-14 07:46:55","2016-12-14 07:47:11",7e91064ec2
584ffef78d78e4b1d1b2afa18753ba92,,冰淇淋,,臭豆腐,,,麻糬,,一列排開展示,0,"2016-12-14 07:48:03","2016-12-14 07:48:16",56caab4b64
b4bddf14ac3638ed497d0ac1a62fdab4,抹茶,冰淇淋,,,,,麻糬,,一列排開展示,1,"2016-12-14 07:50:25","2016-12-14 07:50:55",02b2632812
281c5196a427e97f231801d7ffc1c5be,,,咖哩,臭豆腐,,,,,環狀堆疊,1,"2016-12-14 07:50:41","2016-12-14 07:50:56",02b2632812
b34f892654b89a30ca5b0977f9e92e3d,抹茶,冰淇淋,,,,,麻糬,,一列排開展示,1,"2016-12-14 07:50:07","2016-12-14 07:50:57",bc0ce4a4d8
a41dabffde9a5a79573fc8d468d372f0,,,咖哩,臭豆腐,,,麻糬,,環狀堆疊,0,"2016-12-14 07:51:18","2016-12-14 07:51:31",02b2632812
9c2446a120b75decb114d7c25642f90c,,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 07:50:27","2016-12-14 07:52:06",9972f5f312
4eda46b839b5a9ad7c94fc00bab3d75f,抹茶,冰淇淋,,,,,麻糬,,剖面精美展示,1,"2016-12-14 07:53:26","2016-12-14 07:53:39",c6ff1cc053
cedc0be043c2954ce8102b458c0188df,,冰淇淋,咖哩,,,叉燒,麻糬,,一列排開展示,1,"2016-12-14 07:54:27","2016-12-14 07:54:43",6badc467ac
063efa337b12bd036d20ee62cb86d83c,抹茶,冰淇淋,,,義大利肉醬,,麻糬,,一列排開展示,1,"2016-12-14 07:55:22","2016-12-14 07:55:36",a7c6f3fec7
3bb9c4034747af4c34a43ba62cfe180c,,,咖哩,,,叉燒,,,環狀堆疊,0,"2016-12-14 07:57:20","2016-12-14 07:57:34",af7c83fa28
fafbce1286f6b77a2dc961a9cf04aa57,,冰淇淋,,臭豆腐,,叉燒,麻糬,,環狀堆疊,1,"2016-12-14 07:58:06","2016-12-14 07:58:18",28ca33eb74
cb1351c7e6dd5c4b3ee17faa9b5e5e60,,,咖哩,臭豆腐,義大利肉醬,,,,剖面精美展示,0,"2016-12-14 07:59:02","2016-12-14 07:59:14",3dc0a02ce9
ed4b69edc14eb85a728678820fe5baa3,,冰淇淋,咖哩,,,叉燒,,,環狀堆疊,1,"2016-12-14 08:00:47","2016-12-14 08:00:59",538a997e3c
451252e58cf0e7fdf4581a0049e7c2ee,抹茶,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 08:03:22","2016-12-14 08:04:00",1874a1b3cc
1e2574610bf0d260197d353e0b3836bb,抹茶,冰淇淋,咖哩,,,叉燒,,,剖面精美展示,1,"2016-12-14 08:06:16","2016-12-14 08:06:40",1031fbc68f
5d5ae54d8ae07016e42bd6f10a74b1c8,抹茶,冰淇淋,咖哩,,,叉燒,,,一列排開展示,1,"2016-12-14 08:07:30","2016-12-14 08:07:43",280fa62da1
aec6d9cb10a80b3e72a04ed229d41fc8,,,,,,叉燒,麻糬,,剖面精美展示,0,"2016-12-14 08:09:00","2016-12-14 08:09:10",269d9c9de7
d2d552c614134e9ce6847d084d3e1cff,,,,,義大利肉醬,,,,剖面精美展示,0,"2016-12-14 08:09:17","2016-12-14 08:10:23",02b2632812
ea0a0977eb58bd350a902f30f0f01879,抹茶,,,臭豆腐,,,,,一列排開展示,1,"2016-12-14 08:10:13","2016-12-14 08:10:27",adde959327
d0b0e8de20fdfff2f3a76118bdc4c7e6,抹茶,,咖哩,,,,,,一列排開展示,0,"2016-12-14 08:10:59","2016-12-14 08:11:10",3d6a537381
e6925a4a511afb452e787c29d56aa916,,,,,義大利肉醬,叉燒,,,環狀堆疊,1,"2016-12-14 08:13:50","2016-12-14 08:14:05",10c8d61496
f5e908cf3354ff181e02998531d2cb76,抹茶,冰淇淋,,臭豆腐,,叉燒,麻糬,,一列排開展示,0,"2016-12-14 08:13:14","2016-12-14 08:14:10",1317d50a97
4ad5e59bcf1570104cfc873711701ca4,,,咖哩,臭豆腐,,,麻糬,,一列排開展示,1,"2016-12-14 08:14:43","2016-12-14 08:15:01",cd5c30361f
36221759f1a52f6cfd642a1cda38aedb,,冰淇淋,咖哩,,,叉燒,,,一列排開展示,1,"2016-12-14 08:15:40","2016-12-14 08:15:51",71d51bc9be
b0a7c1f2a77b815f7a7df8aa196e3d94,抹茶,,咖哩,,,,,香芋,環狀堆疊,0,"2016-12-14 08:14:47","2016-12-14 08:16:00",c16a2a3d38
426204480f7f76717ecdebe2b43e6d19,,,咖哩,,義大利肉醬,,,,一列排開展示,1,"2016-12-14 08:16:31","2016-12-14 08:16:42",ec1f0413d6
a72a1a0a308a5f01a0e0fe1f0d6008ad,,,咖哩,,義大利肉醬,,麻糬,,環狀堆疊,1,"2016-12-14 08:18:10","2016-12-14 08:18:19",916536c213
09f17fbdae18bb9b7793f69326281697,抹茶,冰淇淋,咖哩,臭豆腐,義大利肉醬,叉燒,麻糬,,剖面精美展示,1,"2016-12-14 08:18:03","2016-12-14 08:18:44",411219de06
73dd08cf00f7ee4110e8ee3be4f1e2a7,抹茶,冰淇淋,,,,,麻糬,,一列排開展示,1,"2016-12-14 08:18:14","2016-12-14 08:18:51",7d47d2a495
54b7ee12cd7955927959a9835b7ee2a5,抹茶,,,臭豆腐,,,,,一列排開展示,0,"2016-12-14 08:18:59","2016-12-14 08:19:07",4dab5099a2
c89359f38df1f1072bcca2e0ae81dcb0,,冰淇淋,,臭豆腐,,叉燒,,,環狀堆疊,1,"2016-12-14 08:19:44","2016-12-14 08:19:57",3632c9f6bf
7f33fa20d184515ff622e9fa93437cff,,,,臭豆腐,,叉燒,,,一列排開展示,1,"2016-12-14 08:21:40","2016-12-14 08:21:47",3798dce81c
a0e12b13bad4bf072699a71fe6480a60,,,,臭豆腐,義大利肉醬,,,,一列排開展示,1,"2016-12-14 08:22:37","2016-12-14 08:22:49",ade6f5499d
fbd72cb27508381db896903b6206099a,抹茶,,,,,,,,一列排開展示,0,"2016-12-14 08:22:17","2016-12-14 08:23:16",967d422e0d
53963a9f4a9ac9ba04651c04d35fdc3f,,,咖哩,,義大利肉醬,,,,一列排開展示,1,"2016-12-14 08:23:39","2016-12-14 08:23:50",dc9cfb5e04
f4a3016a6c512398ab940cea8aebe071,,,咖哩,,義大利肉醬,,,,剖面精美展示,0,"2016-12-14 08:24:28","2016-12-14 08:24:37",65489eb4e5
d1219cb109158e63ed96fa42a04ac383,,,咖哩,,義大利肉醬,,,,剖面精美展示,1,"2016-12-14 08:25:54","2016-12-14 08:26:08",79c93730b8
c531198eaeadabb07d2e5a34892f561d,,冰淇淋,,,,,麻糬,,剖面精美展示,1,"2016-12-14 08:26:45","2016-12-14 08:26:56",82a39eeff4
30d7df45b9d28042b90523c037bf9d9e,,冰淇淋,咖哩,,,叉燒,,,一列排開展示,0,"2016-12-14 08:26:28","2016-12-14 08:26:57",d1c1d8f9fd
ca887bef12984532b1b5359df4afb97d,,冰淇淋,,臭豆腐,義大利肉醬,,,,剖面精美展示,1,"2016-12-14 08:27:22","2016-12-14 08:27:31",fd1c64a71c
a53c3f89eac8702a381c2e753cc783b0,抹茶,,,,,,麻糬,,剖面精美展示,0,"2016-12-14 08:27:36","2016-12-14 08:28:23",92df910d06
11790dc09212132b5dbc23c515578637,抹茶,,,,,,麻糬,,一列排開展示,0,"2016-12-14 08:28:31","2016-12-14 08:29:07",92df910d06
a0f13a2d23797f0d4fc73ee3d6c49b31,,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 08:29:24","2016-12-14 08:29:59",1317d50a97
8faf9a85ca306289128ef84e328093e9,抹茶,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 08:31:58","2016-12-14 08:32:37",2b8ed58ab8
37aca932b0494b92f3a8f1ad25dd680b,抹茶,,,,,,,,剖面精美展示,0,"2016-12-14 08:32:42","2016-12-14 08:33:10",53b5c3f17c
d4a63c4e061c9be4b32bce52d2ff769c,,冰淇淋,咖哩,,,,麻糬,,一列排開展示,,"2016-12-14 08:32:53","2016-12-14 08:33:26",02b2632812
e7e0e9197b866994402df500a5633c69,,冰淇淋,咖哩,,,,,,一列排開展示,0,"2016-12-14 08:33:37","2016-12-14 08:34:04",02b2632812
7ab9ded8c887fe3a1c0dec3503f7999c,抹茶,,,,,,麻糬,,一列排開展示,0,"2016-12-14 08:34:02","2016-12-14 08:34:49",4cd07afdfe
86f91c5b1098d2bb188647f69b0bf6d6,抹茶,冰淇淋,,,,,,,剖面精美展示,0,"2016-12-14 08:34:33","2016-12-14 08:35:15",856c509342
0699c011b2b392ad04a34b0fd4609c80,抹茶,冰淇淋,,,,,麻糬,,環狀堆疊,0,"2016-12-14 08:39:39","2016-12-14 08:40:16",4c723a9a9f
b516cd3939abcabddef55aa355acbab6,抹茶,,,,,叉燒,麻糬,,一列排開展示,0,"2016-12-14 08:40:12","2016-12-14 08:40:43",3e42e3195a
48d3da8c783aef3ff0b058d6650ec091,抹茶,冰淇淋,,,,,,,一列排開展示,0,"2016-12-14 08:46:50","2016-12-14 08:52:33",914ec22475
eee8c927a9544c220a4b816a089186ae,,,咖哩,臭豆腐,義大利肉醬,叉燒,,,一列排開展示,1,"2016-12-14 08:53:44","2016-12-14 08:54:22",2babd5dc05
f5c3818038d6a5e92550fe0d833793ea,抹茶,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 08:53:01","2016-12-14 08:54:32",47f75121e1
803a3ec26ce7d23aeef1b63b64632ee2,抹茶,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 08:58:43","2016-12-14 08:59:09",3a1b3a7697
ed671ad53e9f7487cd358a07fd180a00,抹茶,,,,,,,,一列排開展示,0,"2016-12-14 09:01:33","2016-12-14 09:01:58",c17b8cd578
5c29217bd91c0adff34c177d8bca2311,,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 09:03:44","2016-12-14 09:04:25",1317d50a97
2e57beb1079482fa6b7d7349a2674fb9,抹茶,冰淇淋,,,,,,,剖面精美展示,1,"2016-12-14 09:04:26","2016-12-14 09:04:54",b56ab55005
957ad81e2addabd3d8803a7786dfe2ea,,,,,,,麻糬,,環狀堆疊,0,"2016-12-14 09:11:43","2016-12-14 09:12:21",b3b621d805
de0a1cef0a477be4bb3514ab3e2100c2,,,,,,,麻糬,,一列排開展示,0,"2016-12-14 09:13:15","2016-12-14 09:13:48",15fbe2b43f
fb6cdc44ab3bdb450a86d4882d6220ae,抹茶,冰淇淋,,,,,,,一列排開展示,1,"2016-12-14 09:15:39","2016-12-14 09:16:11",1317d50a97
99aac5214116527c0a766b95490abaa5,,冰淇淋,咖哩,,義大利肉醬,叉燒,,,環狀堆疊,0,"2016-12-14 09:15:21","2016-12-14 09:16:30",47b62f2b82
dfdf659d2994304feb733a75e02f1f59,抹茶,冰淇淋,咖哩,,,,麻糬,,一列排開展示,0,"2016-12-14 09:14:40","2016-12-14 09:17:12",02b2632812
8bc7a342bd45229c07d1a03d1c13e226,,冰淇淋,,,,,麻糬,,環狀堆疊,1,"2016-12-14 09:29:22","2016-12-14 09:30:07",8d614c79b2
3b42b6030282806aed502fa528c7a8b9,抹茶,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 09:34:34","2016-12-14 09:35:24",e440b466ec
7a479c1d6ef83db998a58469c0d396dd,,,,,,,麻糬,,剖面精美展示,0,"2016-12-14 09:40:08","2016-12-14 09:40:28",9ebf26eab1
04f84667eb7a82878c8b78e094619e89,,,咖哩,,義大利肉醬,叉燒,,,剖面精美展示,0,"2016-12-14 09:47:36","2016-12-14 09:48:25",d6dd452a63
b8e2d02d1eff0164527ecfb4551badb1,抹茶,冰淇淋,,,,,麻糬,,剖面精美展示,0,"2016-12-14 09:50:05","2016-12-14 09:50:47",a37302d66f
24e175aa99e8409fe5a28195accd53fe,,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 09:50:52","2016-12-14 09:51:32",a37302d66f
a43a13c25669d3c17177ad1217aafb7b,抹茶,冰淇淋,,臭豆腐,,,麻糬,,剖面精美展示,1,"2016-12-14 09:51:15","2016-12-14 09:51:48",a3c7ff42fb
d45bd58659e944989f97602f364a3e4d,,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 09:51:52","2016-12-14 09:52:40",caf6e0eb0f
5d6f8fbbca4a8617174f438e25469ccf,抹茶,冰淇淋,,臭豆腐,,,,,環狀堆疊,0,"2016-12-14 10:00:28","2016-12-14 10:01:18",21706ec553
b210e7217758f2e89a379c8781699b8b,抹茶,冰淇淋,,,,,,,一列排開展示,0,"2016-12-14 10:08:23","2016-12-14 10:09:07",bc71d4add5
1ccbb7c83506998f2c818f3272fc9c83,抹茶,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 10:12:26","2016-12-14 10:13:13",b77a8fcea7
7c48d4431597040ebbc6ff874482afe6,抹茶,,,,,,,,剖面精美展示,0,"2016-12-14 10:26:12","2016-12-14 10:26:47",2ac4eeef80
1a884557ee2a6fe39197c232ef9f8a76,,冰淇淋,,臭豆腐,,叉燒,麻糬,,一列排開展示,1,"2016-12-14 10:44:21","2016-12-14 10:45:06",6734a81b34
0e9653005cc3fb061bbbf97ff0759d86,抹茶,,,,義大利肉醬,,,,剖面精美展示,0,"2016-12-14 11:13:07","2016-12-14 11:13:42",1316ce1a16
